"topic","project","source_path","destination_path","source_exists","destination_exists","status","notes"
"education","Davydov Phantom","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\davydov_phantom","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\davydov_phantom","True","True","migrated","Основной код проекта Фантом Давыдова."
"education","Grant Presentation","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\grant_presentation","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\grant_presentation","True","True","migrated","Грантовая презентация и связанные материалы."
"education","Gymnasium Landing","F:\ДИМА\ПРОЕКТЫ\Фантом Давыдова В.В\gymnasium_landing","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\education\gymnasium_landing","True","True","migrated","Лендинг гимназии."
"products","Interactive Panels Rating","F:\ДИМА\ПРОЕКТЫ\интерактивные доски\interactive-panels-rating","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\interactive_panels_rating","True","True","migrated","Сайт/рейтинг интерактивных панелей."
"products","AppScout","F:\ДИМА\ПРОЕКТЫ\Приложения\AppScout","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\appscout","True","True","migrated","Поиск open-source приложений по идее."
"agents","TGAggregator","F:\ДИМА\ПРОЕКТЫ\Приложения\TGAggregator","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\tg_aggregator","True","True","migrated","Телеграм-агрегатор новостей."
"products","SmartMeeting Backend","F:\ДИМА\ПРОЕКТЫ\Умное совещание\backend","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\smartmeeting\backend","True","True","migrated","Backend проекта Умное совещание."
"products","SmartMeeting Web","F:\ДИМА\ПРОЕКТЫ\Умное совещание\web","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\products\smartmeeting\web","True","True","migrated","Frontend/PWA проекта Умное совещание."
"agents","AI Agent Core Workspace","F:\ДИМА\ПРОЕКТЫ\ИИ агент на компьютер","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\ai_agent_core","True","True","migrated","Основной рабочий каталог агента и workflows."
"agents","Agent Second Brain","F:\ДИМА\ПРОЕКТЫ\agent-second-brain","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\agent_second_brain","False","False","missing_source_and_destination","Локальная ветка/эксперимент agent-second-brain."
"antigravity","Antigravity Dashboard Workspace","C:\Users\Admin\.gemini\antigravity\scratch\Мой Дашборд","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\antigravity\my_dashboard","True","True","migrated","Текущий рабочий scratch-каталог."
"antigravity","Antigravity Dashboard Prototype","C:\Users\Admin\.gemini\antigravity\scratch\dashboard","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\antigravity\dashboard_prototype","True","True","migrated","Ранний прототип дашборда."
"antigravity","Tech Radar Skill","C:\Users\Admin\.gemini\antigravity\scratch\skills\tech_radar","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\antigravity\skills\tech_radar","True","True","migrated","Локальный skill tech_radar."
"business","KORA Strategy","C:\Users\Admin\.gemini\antigravity\scratch\kora_strategy","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\business\kora_strategy","True","True","migrated","Материалы по стратегии KORA."
"agents","Agent Second Brain (Recovered Fragments)","C:\Users\Admin\.gemini\antigravity\brain\*second*brain*","D:\ЯндексДиск\Yandex.Disk\ПРОЕКТЫ\AI_Workspace\project_archive\agents\agent_second_brain_recovered","True","True","recovered_fragments_only","Полный проект agent-second-brain не найден по исходному пути F:\ДИМА\ПРОЕКТЫ\agent-second-brain."
